eval_type,model,mae,rmse,r2_oos,brier_score,roc_auc,precision,recall,f1,accuracy
continuous,Baseline,7.736278557782227,14.069151319354193,0.3356015863712142,NA,NA,NA,NA,NA,NA
continuous,MLR,9.501345793666871,13.220765727019307,0.41331362205368927,NA,NA,NA,NA,NA,NA
continuous,Ridge,11.02080562023772,14.901146303959537,0.2546982464896156,NA,NA,NA,NA,NA,NA
continuous,LASSO,10.801832010171903,14.528355948239145,0.29152304427729403,NA,NA,NA,NA,NA,NA
continuous,Stepwise_AIC,9.501345793666871,13.220765727019307,0.41331362205368927,NA,NA,NA,NA,NA,NA
binary,Logistic Regression,NA,NA,NA,0.14542343342288583,0.8391025260910824,0.8322981366459627,0.5234375,0.6426858513189448,0.80970625798212
