eval_type,model,mae,rmse,brier_score,precision,recall,f1,accuracy
continuous,Baseline,7.73627855778223,14.069151319354193,NA,NA,NA,NA,NA
continuous,MLR,9.501345793666845,13.220765727019304,NA,NA,NA,NA,NA
continuous,Ridge,11.454491406495102,15.572910856902157,NA,NA,NA,NA,NA
binary,Logistic Regression,NA,NA,0.14542343342288588,0.8322981366459627,0.5234375,0.6426858513189448,0.80970625798212
