commodity,n,mae_baseline,mae_mlr,mae_ridge,mae_lasso,mae_step,brier_logit,pct_large_true
Lentils,165,1.3071584353449361,6.46695756622615,10.27459066798359,9.512033062532248,6.46695756622615,0.044622704696484924,0
Onions (imported),166,5.709237251510434,7.669644690986328,5.745277140564277,6.045136829055338,7.669644690986328,0.2630957304361525,40.36144578313253
Potatoes (imported),163,5.9121917430766215,5.701581344895125,6.840832255056042,6.753820824305932,5.701581344895125,0.21471360919789811,30.67484662576687
Rice (white),126,1.6219532894745714,6.026724217008056,10.140423875735666,9.428331320421425,6.026724217008056,0.05899470485716843,2.380952380952381
Tomatoes,163,22.85913016297886,20.924047415639237,22.00931453483646,22.061434075390352,20.924047415639237,0.125142697739495,83.43558282208589
